"schoolid","location"
"0015-01-784","SUBURBS"
"0015-01-848","SUBURBS"
"0016-01-771","SUBURBS"
"0016-01-772","SUBURBS"
"0016-01-773","SUBURBS"
"0016-01-774","SUBURBS"
"0016-01-775","SUBURBS"
"0016-01-787","SUBURBS"
"0021-01-010","OUT STATE"
"0022-01-010","OUT STATE"
"0022-01-020","OUT STATE"
"0022-01-030","OUT STATE"
"0022-01-050","OUT STATE"
"0022-01-055","OUT STATE"
"0022-01-060","OUT STATE"
"0023-01-010","OUT STATE"
"0024-01-010","OUT STATE"
"0025-01-070","OUT STATE"
"0031-01-013","OUT STATE"
"0031-01-014","OUT STATE"
"0031-01-016","OUT STATE"
"0031-01-030","OUT STATE"
"0031-01-040","OUT STATE"
"0031-01-050","OUT STATE"
"0031-01-060","OUT STATE"
"0031-01-080","OUT STATE"
"0031-01-100","OUT STATE"
"0031-01-140","OUT STATE"
"0031-01-647","OUT STATE"
"0032-01-010","OUT STATE"
"0036-01-010","OUT STATE"
"0038-01-010","OUT STATE"
"0038-01-011","OUT STATE"
"0038-01-020","OUT STATE"
"0047-01-003","OUT STATE"
"0047-01-004","OUT STATE"
"0047-01-006","OUT STATE"
"0047-01-007","OUT STATE"
"0051-01-010","OUT STATE"
"0051-01-030","OUT STATE"
"0055-01-001","OUT STATE"
"0055-01-003","OUT STATE"
"0057-01-010","OUT STATE"
"0057-01-011","OUT STATE"
"0058-01-001","OUT STATE"
"0060-01-010","OUT STATE"
"0062-01-010",NA
"0070-01-010","OUT STATE"
"0072-01-010","OUT STATE"
"0075-01-010","OUT STATE"
"0077-01-010","OUT STATE"
"0077-01-020","OUT STATE"
"0077-01-030","OUT STATE"
"0077-01-040","OUT STATE"
"0077-01-050","OUT STATE"
"0077-01-060","OUT STATE"
"0077-01-070","OUT STATE"
"0077-01-080","OUT STATE"
"0077-01-090","OUT STATE"
"0077-01-150","OUT STATE"
"0077-01-210","OUT STATE"
"0078-01-010","OUT STATE"
"0078-01-030","OUT STATE"
"0079-01-010","OUT STATE"
"0081-01-010","OUT STATE"
"0084-01-010","OUT STATE"
"0085-01-002","OUT STATE"
"0088-01-010","OUT STATE"
"0088-01-020","OUT STATE"
"0088-01-030","OUT STATE"
"0088-01-060","OUT STATE"
"0091-01-001","OUT STATE"
"0093-01-002","OUT STATE"
"0094-01-101","OUT STATE"
"0094-01-102","OUT STATE"
"0094-01-105","OUT STATE"
"0095-01-010","OUT STATE"
"0097-01-020","OUT STATE"
"0099-01-030","OUT STATE"
"0100-01-001","OUT STATE"
"0108-01-010","SUBURBS"
"0108-01-030","SUBURBS"
"0108-01-040","SUBURBS"
"0110-01-010","SUBURBS"
"0110-01-110","SUBURBS"
"0110-01-120","SUBURBS"
"0110-01-130","SUBURBS"
"0110-01-871","SUBURBS"
"0111-01-001","SUBURBS"
"0111-01-837","SUBURBS"
"0111-01-839","SUBURBS"
"0111-01-840","SUBURBS"
"0112-01-501","SUBURBS"
"0112-01-504","SUBURBS"
"0112-01-505","SUBURBS"
"0112-01-506","SUBURBS"
"0112-01-507","SUBURBS"
"0112-01-509","SUBURBS"
"0112-01-510","SUBURBS"
"0112-01-511","SUBURBS"
"0112-01-512","SUBURBS"
"0112-01-513","SUBURBS"
"0113-01-010","OUT STATE"
"0113-01-015","OUT STATE"
"0114-01-010","OUT STATE"
"0115-01-010","OUT STATE"
"0115-01-020","OUT STATE"
"0116-01-010","OUT STATE"
"0117-01-010","OUT STATE"
"0118-01-010","OUT STATE"
"0118-01-030","OUT STATE"
"0119-01-010","OUT STATE"
"0126-01-010","OUT STATE"
"0127-01-002","OUT STATE"
"0128-01-010","OUT STATE"
"0129-01-010","OUT STATE"
"0129-01-015","OUT STATE"
"0129-01-020","OUT STATE"
"0138-01-010","OUT STATE"
"0138-01-040","OUT STATE"
"0138-01-045","OUT STATE"
"0139-01-010","OUT STATE"
"0140-01-001","OUT STATE"
"0141-01-001","OUT STATE"
"0141-01-002","OUT STATE"
"0145-01-001","OUT STATE"
"0145-01-002","OUT STATE"
"0146-01-010","OUT STATE"
"0147-01-010","OUT STATE"
"0150-01-010","OUT STATE"
"0150-01-011","OUT STATE"
"0152-01-011","OUT STATE"
"0152-01-014","OUT STATE"
"0152-01-015","OUT STATE"
"0152-01-017","OUT STATE"
"0152-01-018","OUT STATE"
"0152-01-085","OUT STATE"
"0152-01-104","OUT STATE"
"0152-01-185","OUT STATE"
"0152-01-186","OUT STATE"
"0152-01-187","OUT STATE"
"0152-01-188","OUT STATE"
"0152-01-189","OUT STATE"
"0152-01-190","OUT STATE"
"0152-01-191","OUT STATE"
"0152-01-194","OUT STATE"
"0152-01-204","OUT STATE"
"0152-01-384","OUT STATE"
"0158-01-010","OUT STATE"
"0161-01-010","OUT STATE"
"0162-01-010","OUT STATE"
"0162-01-040","OUT STATE"
"0166-01-060","OUT STATE"
"0166-01-070","OUT STATE"
"0166-01-080","OUT STATE"
"0173-01-010","OUT STATE"
"0175-01-010",NA
"0177-01-020","OUT STATE"
"0177-01-030","OUT STATE"
"0177-01-040","OUT STATE"
"0178-01-010","OUT STATE"
"0181-01-002","OUT STATE"
"0181-01-003","OUT STATE"
"0181-01-004","OUT STATE"
"0181-01-005","OUT STATE"
"0181-01-007","OUT STATE"
"0181-01-008","OUT STATE"
"0181-01-009","OUT STATE"
"0181-01-010","OUT STATE"
"0181-01-011","OUT STATE"
"0181-01-012","OUT STATE"
"0181-01-013","OUT STATE"
"0181-01-015","OUT STATE"
"0182-01-002","OUT STATE"
"0182-01-003","OUT STATE"
"0182-01-004","OUT STATE"
"0182-01-005","OUT STATE"
"0182-01-006","OUT STATE"
"0186-01-010","OUT STATE"
"0191-01-480","SUBURBS"
"0191-01-481","SUBURBS"
"0191-01-482","SUBURBS"
"0191-01-483","SUBURBS"
"0191-01-484","SUBURBS"
"0191-01-485","SUBURBS"
"0191-01-486","SUBURBS"
"0191-01-487","SUBURBS"
"0191-01-488","SUBURBS"
"0191-01-489","SUBURBS"
"0191-01-490","SUBURBS"
"0191-01-491","SUBURBS"
"0192-01-010","SUBURBS"
"0192-01-040","SUBURBS"
"0192-01-080","SUBURBS"
"0192-01-100","SUBURBS"
"0192-01-155","SUBURBS"
"0192-01-621","SUBURBS"
"0194-01-591","SUBURBS"
"0194-01-592","SUBURBS"
"0194-01-593","SUBURBS"
"0194-01-594","SUBURBS"
"0194-01-595","SUBURBS"
"0194-01-596","SUBURBS"
"0194-01-597","SUBURBS"
"0194-01-598","SUBURBS"
"0194-01-599","SUBURBS"
"0195-01-010","SUBURBS"
"0196-01-025","SUBURBS"
"0196-01-513","SUBURBS"
"0196-01-514","SUBURBS"
"0196-01-705","SUBURBS"
"0196-01-706","SUBURBS"
"0196-01-707","SUBURBS"
"0196-01-708","SUBURBS"
"0196-01-709","SUBURBS"
"0196-01-710","SUBURBS"
"0196-01-711","SUBURBS"
"0196-01-712","SUBURBS"
"0196-01-713","SUBURBS"
"0196-01-714","SUBURBS"
"0196-01-715","SUBURBS"
"0196-01-716","SUBURBS"
"0196-01-717","SUBURBS"
"0196-01-718","SUBURBS"
"0196-01-719","SUBURBS"
"0196-01-720","SUBURBS"
"0196-01-721","SUBURBS"
"0196-01-764","SUBURBS"
"0196-01-765","SUBURBS"
"0197-01-815","SUBURBS"
"0197-01-816","SUBURBS"
"0197-01-817","SUBURBS"
"0197-01-819","SUBURBS"
"0197-01-820","SUBURBS"
"0199-01-574","SUBURBS"
"0199-01-575","SUBURBS"
"0199-01-576","SUBURBS"
"0199-01-577","SUBURBS"
"0199-01-578","SUBURBS"
"0199-01-579","SUBURBS"
"0200-01-010","SUBURBS"
"0200-01-020","SUBURBS"
"0200-01-025","SUBURBS"
"0200-01-030","SUBURBS"
"0200-01-608","SUBURBS"
"0200-01-609","SUBURBS"
"0200-01-610","SUBURBS"
"0200-01-611","SUBURBS"
"0200-01-612","SUBURBS"
"0201-01-010","OUT STATE"
"0202-01-010","OUT STATE"
"0203-01-002","OUT STATE"
"0203-01-003","OUT STATE"
"0204-01-010","OUT STATE"
"0204-01-020","OUT STATE"
"0205-01-001","OUT STATE"
"0206-01-110","OUT STATE"
"0206-01-120","OUT STATE"
"0206-01-130","OUT STATE"
"0206-01-140","OUT STATE"
"0206-01-150","OUT STATE"
"0206-01-160","OUT STATE"
"0206-01-170","OUT STATE"
"0207-01-001",NA
"0208-01-001",NA
"0209-01-010","OUT STATE"
"0213-01-010","OUT STATE"
"0217-01-010","OUT STATE"
"0218-01-010","OUT STATE"
"0219-01-001","OUT STATE"
"0222-01-001","OUT STATE"
"0223-01-010","OUT STATE"
"0224-01-010","OUT STATE"
"0225-01-010","OUT STATE"
"0227-01-002","OUT STATE"
"0228-01-123","OUT STATE"
"0229-01-010","OUT STATE"
"0232-01-010","OUT STATE"
"0233-01-010","OUT STATE"
"0234-01-001","OUT STATE"
"0236-01-010","OUT STATE"
"0237-01-010","OUT STATE"
"0238-01-001","OUT STATE"
"0239-01-001","OUT STATE"
"0240-01-010","OUT STATE"
"0241-01-020","OUT STATE"
"0241-01-030","OUT STATE"
"0241-01-040","OUT STATE"
"0241-01-050","OUT STATE"
"0241-01-060","OUT STATE"
"0241-01-070","OUT STATE"
"0241-01-080","OUT STATE"
"0241-01-110","OUT STATE"
"0241-01-120","OUT STATE"
"0241-01-130","OUT STATE"
"0241-01-140","OUT STATE"
"0242-01-002","OUT STATE"
"0243-01-010","OUT STATE"
"0244-01-001","OUT STATE"
"0245-01-002","OUT STATE"
"0252-01-001","OUT STATE"
"0252-01-003","OUT STATE"
"0252-01-004","OUT STATE"
"0253-01-001","OUT STATE"
"0254-01-010","OUT STATE"
"0255-01-010","OUT STATE"
"0256-01-001","OUT STATE"
"0256-01-002","OUT STATE"
"0256-01-003","OUT STATE"
"0256-01-004","OUT STATE"
"0256-01-005","OUT STATE"
"0256-01-006","OUT STATE"
"0256-01-537","OUT STATE"
"0256-01-538","OUT STATE"
"0256-01-539","OUT STATE"
"0256-01-540","OUT STATE"
"0256-01-541","OUT STATE"
"0258-01-010","OUT STATE"
"0260-01-001","OUT STATE"
"0261-01-010","OUT STATE"
"0262-01-010","OUT STATE"
"0263-01-001","OUT STATE"
"0264-01-001","OUT STATE"
"0265-01-001","OUT STATE"
"0270-01-561","SUBURBS"
"0270-01-562","SUBURBS"
"0270-01-563","SUBURBS"
"0270-01-564","SUBURBS"
"0270-01-565","SUBURBS"
"0270-01-566","SUBURBS"
"0270-01-567","SUBURBS"
"0270-01-568","SUBURBS"
"0270-01-569","SUBURBS"
"0270-01-570","SUBURBS"
"0271-01-013","SUBURBS"
"0271-01-432","SUBURBS"
"0271-01-442","SUBURBS"
"0271-01-443","SUBURBS"
"0271-01-444","SUBURBS"
"0271-01-446","SUBURBS"
"0271-01-447","SUBURBS"
"0271-01-448","SUBURBS"
"0271-01-449","SUBURBS"
"0271-01-450","SUBURBS"
"0271-01-451","SUBURBS"
"0271-01-452","SUBURBS"
"0271-01-454","SUBURBS"
"0271-01-455","SUBURBS"
"0271-01-457","SUBURBS"
"0271-01-458","SUBURBS"
"0271-01-459","SUBURBS"
"0271-01-460","SUBURBS"
"0271-01-461","SUBURBS"
"0272-01-002","SUBURBS"
"0272-01-003","SUBURBS"
"0272-01-004","SUBURBS"
"0272-01-005","SUBURBS"
"0272-01-006","SUBURBS"
"0272-01-008","SUBURBS"
"0272-01-009","SUBURBS"
"0272-01-011","SUBURBS"
"0272-01-880","SUBURBS"
"0272-01-881","SUBURBS"
"0272-01-882","SUBURBS"
"0272-01-883","SUBURBS"
"0272-01-885","SUBURBS"
"0272-01-886","SUBURBS"
"0272-01-887","SUBURBS"
"0273-01-526","SUBURBS"
"0273-01-527","SUBURBS"
"0273-01-528","SUBURBS"
"0273-01-529","SUBURBS"
"0273-01-532","SUBURBS"
"0273-01-533","SUBURBS"
"0276-01-601","SUBURBS"
"0276-01-602","SUBURBS"
"0276-01-603","SUBURBS"
"0276-01-604","SUBURBS"
"0276-01-605","SUBURBS"
"0276-01-606","SUBURBS"
"0276-01-607","SUBURBS"
"0277-01-615","SUBURBS"
"0277-01-616","SUBURBS"
"0277-01-617","SUBURBS"
"0278-01-661","SUBURBS"
"0278-01-662","SUBURBS"
"0278-01-663","SUBURBS"
"0279-01-665","SUBURBS"
"0279-01-668","SUBURBS"
"0279-01-669","SUBURBS"
"0279-01-670","SUBURBS"
"0279-01-671","SUBURBS"
"0279-01-672","SUBURBS"
"0279-01-673","SUBURBS"
"0279-01-674","SUBURBS"
"0279-01-675","SUBURBS"
"0279-01-676","SUBURBS"
"0279-01-677","SUBURBS"
"0279-01-678","SUBURBS"
"0279-01-679","SUBURBS"
"0279-01-680","SUBURBS"
"0279-01-681","SUBURBS"
"0279-01-682","SUBURBS"
"0279-01-683","SUBURBS"
"0279-01-684","SUBURBS"
"0279-01-685","SUBURBS"
"0279-01-687","SUBURBS"
"0279-01-689","SUBURBS"
"0279-01-693","SUBURBS"
"0279-01-696","SUBURBS"
"0280-01-036","SUBURBS"
"0280-01-695","SUBURBS"
"0280-01-698","SUBURBS"
"0280-01-699","SUBURBS"
"0280-01-701","SUBURBS"
"0280-01-702","SUBURBS"
"0280-01-705","SUBURBS"
"0281-01-003","SUBURBS"
"0281-01-004","SUBURBS"
"0281-01-005","SUBURBS"
"0281-01-006","SUBURBS"
"0281-01-007","SUBURBS"
"0281-01-008","SUBURBS"
"0281-01-009","SUBURBS"
"0281-01-010","SUBURBS"
"0281-01-011","SUBURBS"
"0281-01-012","SUBURBS"
"0281-01-013","SUBURBS"
"0281-01-017","SUBURBS"
"0281-01-019","SUBURBS"
"0281-01-020","SUBURBS"
"0281-01-022","SUBURBS"
"0281-01-023","SUBURBS"
"0281-01-030","SUBURBS"
"0281-01-401","SUBURBS"
"0282-01-040","SUBURBS"
"0283-01-745","SUBURBS"
"0283-01-747","SUBURBS"
"0283-01-749","SUBURBS"
"0283-01-750","SUBURBS"
"0283-01-754","SUBURBS"
"0283-01-755","SUBURBS"
"0283-01-758","SUBURBS"
"0284-01-803","SUBURBS"
"0284-01-804","SUBURBS"
"0284-01-805","SUBURBS"
"0284-01-806","SUBURBS"
"0284-01-807","SUBURBS"
"0284-01-808","SUBURBS"
"0284-01-809","SUBURBS"
"0284-01-810","SUBURBS"
"0284-01-811","SUBURBS"
"0284-01-812","SUBURBS"
"0286-01-010","SUBURBS"
"0286-01-480","SUBURBS"
"0294-01-010","OUT STATE"
"0297-01-010","OUT STATE"
"0299-01-002","OUT STATE"
"0299-01-003","OUT STATE"
"0299-01-005","OUT STATE"
"0299-01-010","OUT STATE"
"0300-01-010","OUT STATE"
"0300-01-030","OUT STATE"
"0301-01-010","OUT STATE"
"0306-01-010","OUT STATE"
"0308-01-010","OUT STATE"
"0309-01-010","OUT STATE"
"0309-01-020","OUT STATE"
"0309-01-030","OUT STATE"
"0309-01-040","OUT STATE"
"0314-01-002","OUT STATE"
"0314-01-003","OUT STATE"
"0316-01-040","OUT STATE"
"0316-01-080","OUT STATE"
"0316-01-110","OUT STATE"
"0316-01-120","OUT STATE"
"0316-01-130","OUT STATE"
"0317-01-002","OUT STATE"
"0317-01-003","OUT STATE"
"0317-01-004","OUT STATE"
"0318-01-030","OUT STATE"
"0318-01-040","OUT STATE"
"0318-01-050","OUT STATE"
"0318-01-060","OUT STATE"
"0318-01-070","OUT STATE"
"0318-01-080","OUT STATE"
"0318-01-090","OUT STATE"
"0318-01-100","OUT STATE"
"0318-01-105","OUT STATE"
"0318-01-110","OUT STATE"
"0318-01-115","OUT STATE"
"0318-01-120","OUT STATE"
"0318-01-125","OUT STATE"
"0318-01-130","OUT STATE"
"0318-01-135","OUT STATE"
"0318-01-137","OUT STATE"
"0318-01-145","OUT STATE"
"0318-01-150","OUT STATE"
"0319-01-020","OUT STATE"
"0319-01-030","OUT STATE"
"0324-01-112","OUT STATE"
"0325-01-010","OUT STATE"
"0328-01-010","OUT STATE"
"0330-01-010","OUT STATE"
"0332-01-020","OUT STATE"
"0332-01-030","OUT STATE"
"0332-01-040","OUT STATE"
"0333-01-010","OUT STATE"
"0341-01-010","OUT STATE"
"0345-01-010","OUT STATE"
"0345-01-011","OUT STATE"
"0345-01-020","OUT STATE"
"0346-01-010","OUT STATE"
"0347-01-099","OUT STATE"
"0347-01-101","OUT STATE"
"0347-01-102","OUT STATE"
"0347-01-103","OUT STATE"
"0347-01-104","OUT STATE"
"0347-01-105","OUT STATE"
"0347-01-106","OUT STATE"
"0347-01-107","OUT STATE"
"0347-01-108","OUT STATE"
"0347-01-109","OUT STATE"
"0347-01-110","OUT STATE"
"0347-01-851","OUT STATE"
"0347-01-852","OUT STATE"
"0347-01-853","OUT STATE"
"0347-01-854","OUT STATE"
"0347-01-855","OUT STATE"
"0347-01-856","OUT STATE"
"0347-01-858","OUT STATE"
"0351-01-010","OUT STATE"
"0352-01-010","OUT STATE"
"0353-01-010","OUT STATE"
"0354-01-010","OUT STATE"
"0356-01-010","OUT STATE"
"0361-01-002","OUT STATE"
"0361-01-004","OUT STATE"
"0361-01-005","OUT STATE"
"0361-01-006","OUT STATE"
"0361-01-007","OUT STATE"
"0362-01-010","OUT STATE"
"0362-01-020","OUT STATE"
"0363-01-080","OUT STATE"
"0363-01-090","OUT STATE"
"0371-01-010",NA
"0376-01-010","OUT STATE"
"0377-01-010","OUT STATE"
"0378-01-010","OUT STATE"
"0381-01-020","OUT STATE"
"0381-01-030","OUT STATE"
"0381-01-040","OUT STATE"
"0381-01-060","OUT STATE"
"0390-01-113","OUT STATE"
"0390-01-224","OUT STATE"
"0391-01-010","OUT STATE"
"0392-01-010",NA
"0393-01-010","OUT STATE"
"0394-01-010",NA
"0394-01-030",NA
"0394-01-040",NA
"0395-01-020","OUT STATE"
"0402-01-010","OUT STATE"
"0402-01-120","OUT STATE"
"0403-01-010","OUT STATE"
"0404-01-010","OUT STATE"
"0408-01-010","OUT STATE"
"0409-01-010",NA
"0411-01-010",NA
"0412-01-010","OUT STATE"
"0413-01-002","OUT STATE"
"0413-01-003","OUT STATE"
"0413-01-005","OUT STATE"
"0413-01-007","OUT STATE"
"0413-01-016","OUT STATE"
"0414-01-001","OUT STATE"
"0415-01-010","OUT STATE"
"0417-01-002",NA
"0418-01-010",NA
"0421-01-010","OUT STATE"
"0421-01-100","OUT STATE"
"0422-01-010","OUT STATE"
"0422-01-020","OUT STATE"
"0422-01-050","OUT STATE"
"0423-01-010","OUT STATE"
"0423-01-060","OUT STATE"
"0424-01-010","OUT STATE"
"0425-01-010","OUT STATE"
"0426-01-010","OUT STATE"
"0427-01-001","OUT STATE"
"0432-01-010","OUT STATE"
"0432-01-030","OUT STATE"
"0435-01-010","OUT STATE"
"0435-01-020","OUT STATE"
"0435-01-040","OUT STATE"
"0436-01-010","OUT STATE"
"0437-01-010","OUT STATE"
"0440-01-010","OUT STATE"
"0441-01-010","OUT STATE"
"0441-01-030","OUT STATE"
"0442-01-010","OUT STATE"
"0443-01-010","OUT STATE"
"0444-01-001","OUT STATE"
"0446-01-010","OUT STATE"
"0447-01-001","OUT STATE"
"0447-01-002","OUT STATE"
"0451-01-020","OUT STATE"
"0453-01-010","OUT STATE"
"0454-01-020","OUT STATE"
"0454-01-040","OUT STATE"
"0456-01-010","OUT STATE"
"0457-01-010","OUT STATE"
"0458-01-010","OUT STATE"
"0459-01-010","OUT STATE"
"0460-01-010","OUT STATE"
"0461-01-010","OUT STATE"
"0463-01-010","OUT STATE"
"0463-01-030","OUT STATE"
"0464-01-010","OUT STATE"
"0465-01-010","OUT STATE"
"0465-01-020","OUT STATE"
"0466-01-001","OUT STATE"
"0466-01-003","OUT STATE"
"0473-01-010","OUT STATE"
"0477-01-001","OUT STATE"
"0477-01-010","OUT STATE"
"0480-01-010","OUT STATE"
"0482-01-010","OUT STATE"
"0482-01-020","OUT STATE"
"0482-01-050","OUT STATE"
"0482-01-110","OUT STATE"
"0482-01-120","OUT STATE"
"0482-01-130","OUT STATE"
"0483-01-010","OUT STATE"
"0484-01-020","OUT STATE"
"0485-01-010","OUT STATE"
"0485-01-080","OUT STATE"
"0486-01-010","OUT STATE"
"0487-01-010","OUT STATE"
"0492-01-010","OUT STATE"
"0492-01-040","OUT STATE"
"0492-01-060","OUT STATE"
"0492-01-070","OUT STATE"
"0492-01-080","OUT STATE"
"0492-01-105","OUT STATE"
"0492-01-110","OUT STATE"
"0492-01-280","OUT STATE"
"0495-01-010","OUT STATE"
"0497-01-010","OUT STATE"
"0499-01-015","OUT STATE"
"0499-01-020","OUT STATE"
"0500-01-030","OUT STATE"
"0504-01-010","OUT STATE"
"0505-01-010","OUT STATE"
"0507-01-010","OUT STATE"
"0508-01-020","OUT STATE"
"0508-01-030","OUT STATE"
"0508-01-050","OUT STATE"
